base_path,title
/guidance/immigration-rules/immigration-rules-appendix-afghan-relocation-and-assistance-policy-arap,Immigration Rules Appendix Afghan Relocation and Assistance Policy (ARAP) 
/guidance/immigration-rules/immigration-rules-appendix-uk-european-applicant-transfer-scheme,Immigration Rules Appendix UK/European Applicant Transfer Scheme 
/guidance/immigration-rules/immigration-rules-appendix-temporary-permission-to-stay-for-victims-of-human-trafficking-or-slavery,Immigration Rules Appendix Temporary Permission to Stay for Victims of Human Trafficking or Slavery 
/guidance/immigration-rules/immigration-rules-appendix-family-reunion-sponsors-with-protection,Immigration Rules Appendix Family Reunion (Sponsors with Protection)
/guidance/immigration-rules/immigration-rules-appendix-child-relative-sponsors-with-protection,Immigration Rules Appendix Child Relative (Sponsors with Protection)
/guidance/immigration-rules/immigration-rules-appendix-adult-dependent-relative,Immigration Rules Appendix Adult Dependent Relative
/guidance/immigration-rules/immigration-rules-appendix-long-residence,Immigration Rules Appendix Long Residence
/guidance/immigration-rules/immigration-rules-appendix-victim-of-domestic-abuse,Immigration Rules Appendix Victim of Domestic Abuse
/guidance/immigration-rules/immigration-rules-appendix-bereaved-partner,Immigration Rules Appendix Bereaved Partner
/guidance/immigration-rules/immigration-rules-appendix-adoption,Immigration Rules Appendix Adoption 
/guidance/immigration-rules/immigration-rules-appendix-private-life,Immigration Rules Appendix Private Life
/guidance/immigration-rules/immigration-rules-appendix-settlement-family-life,Immigration Rules Appendix Settlement Family Life
/guidance/immigration-rules/immigration-rules-appendix-gurkha-and-hong-kong-military-unit-veteran-discharged-before-1-july-1997,Immigration Rules Appendix Gurkha and Hong Kong military unit veteran discharged before 1 July 1997
/guidance/immigration-rules/immigration-rules-appendix-atas-academic-technology-approval-scheme-atas,Immigration Rules Appendix ATAS: Academic Technology Approval Scheme (ATAS)
/guidance/immigration-rules/immigration-rules-appendix-english-language,Immigration Rules Appendix English Language
/guidance/immigration-rules/immigration-rules-appendix-kol-uk,Immigration Rules Appendix KOL UK
/guidance/immigration-rules/immigration-rules-appendix-finance,Immigration Rules Appendix Finance
/guidance/immigration-rules/immigration-rules-appendix-returning-resident,Immigration Rules Appendix Returning Resident 
/guidance/immigration-rules/immigration-rules-appendix-statelessness,Immigration Rules Appendix Statelessness 
/guidance/immigration-rules/immigration-rules-appendix-continuous-residence,Immigration Rules Appendix Continuous Residence
/guidance/immigration-rules/immigration-rules-appendix-relationship-with-partner,Immigration Rules Appendix Relationship with Partner
/guidance/immigration-rules/immigration-rules-appendix-children,Immigration Rules Appendix Children 
/guidance/immigration-rules/immigration-rules-appendix-tuberculosis-tb,Immigration Rules Appendix Tuberculosis (TB)
